details,adresse,prix,etat,image_lien
Plaque de cuisson électronique Decakila,Hlm Dakar,9000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7513640fa2caae1f80db746c191f4335/-/horizon-files-prod/ed/picture/qdekv09m/be0687902f060aa0f69457c9a9f45d7247954a36.jpg
cuisiniere 4feux boko,Ouakam Dakar,50000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdce7a6630d704c6334989c537c2bcc4/-/horizon-files-prod/ed/picture/qngxm0p9/206f9a9fb1b203c2b3974ada8fdc800064f1392b.jpg
CUISINIERE FERRE 4FEUX 50X50 GRIS A GAZ,Plateau Dakar,105000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d54b4108219507b5333635ca453e67c/-/horizon-files-prod/ed/picture/q448vrkp/f2bcdf4602b402428a489856eeb9e4f71905d52e.jpg
CUISINIERE FERRE 5FEUX 90X60 INOX A GAZ,Plateau Dakar,298000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/708d2734b2a5ab912b52d9b13f2cc2bb/-/horizon-files-prod/ed/picture/q8v5e9kr/2bfc019f845b27bbee03d2b9ca01574a3570e8a0.jpg
CUISINIERE MIDEA 5FEUX 90X60 INOX FULL OPTIONS,Plateau Dakar,298000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/969cd07b0ea1fa1bd7b9348a6e1dda36/-/horizon-files-prod/ed/picture/qm5pxjv2/7e73b2e9e94432be99f737d88b1f2ae3fa726400.jpg
cuisiniere astech 4feux 60/60,Ouakam Dakar,125000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/31ce78413f5c4ab9aed9c25dad966319/-/horizon-files-prod/ed/picture/qgq9x59m/2243fa740a821145a346748a5753aebd5fe478eb.jpg
CUISINIERE WESTPOOL 4 FEUX,Plateau Dakar,160000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc10251e5ef2c7273269d95acd0452c6/-/horizon-files-prod/ed/picture/qgq5xn7k/b80891f6cbda57a1257434f3869399d92e71ab53.jpg
Cuisinere 4 feux 5 feux,Cité keur gorgui Dakar,120000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7dc8e2806a9bb6cdbd4807abb8596ef7/-/horizon-files-prod/ed/picture/qwe2v8rp/9fb34da5f5546ebc5906ded93982c8a89836fb1b.jpg
Batteur sur socle Tower 1000W 5L -,Grand-Dakar Dakar,65000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26e6e7ff79ac46662c333b2d29067c80/-/horizon-files-prod/ed/picture/q0gw69e6/9f6f29b483fc9f89fbb520a954d89a9c7609ed09.jpg
Cuisinière Élactron 4feux 50/50,Ouakam Dakar,90000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/343402532c08e4312d774bd4f3782c41/-/horizon-files-prod/ed/picture/qxj2mvrz/8a33e283921f401766709caf16bc3ddd75cd56e3.jpg
Air fryer silvercrest 6L,Ouakam Dakar,50000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c2ec845a3f5d2a319bc2d952aeba920/-/horizon-files-prod/ed/picture/qkrg4v2j/e0ce205c100fe64241cd9e4e6815ba486839402d.jpg
Micro onde Samsung 23L beige,Colobane Dakar,39900,Venant,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2eb4682c6f1ab14d53c007ab825b93f4/-/horizon-files-prod/ed/picture/q9m97e90/2c9cf80645f5d3cc7cfdb7baf7284ca28556a79e.jpg
Four ASTECH F06622GZ-60NOG-MA Gaz,Plateau Dakar,170000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3602efabd12d797ce8e838431814310c/-/horizon-files-prod/ed/picture/q8v5x7gx/9fa282be8b059aa9b2e17ae1db2674732aab4c79.jpg
HOTTE DE CUISINE 60/60 TECHNOLUX AVEC SORTIE,Plateau Dakar,89000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f24d164ce3e5f7b0662683e885dd612/-/horizon-files-prod/ed/picture/q2jqen4j/929e375cd5862abb622b92d171097376125e51a6.jpg
